{'loss': 0.7074, 'grad_norm': 2.192674398422241, 'learning_rate': 1.2796208530805689e-06, 'epoch': 0.01}
 47%|█████████████████████████████████████████████████████████▍                                                               | 1000/2106 [00:57<01:03, 17.51it/s]/home/zcai/anaconda3/envs/AI-env/lib/python3.10/site-packages/torch/nn/parallel/_functions.py:71: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn(
 71%|██████████████████████████████████████████████████████████████████████████████████████▏                                  | 1500/2106 [01:25<00:34, 17.36it/s]/home/zcai/anaconda3/envs/AI-env/lib/python3.10/site-packages/torch/nn/parallel/_functions.py:71: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn(
 95%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████▉      | 2000/2106 [01:53<00:06, 15.54it/s]/home/zcai/anaconda3/envs/AI-env/lib/python3.10/site-packages/torch/nn/parallel/_functions.py:71: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn(
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2106/2106 [02:03<00:00, 17.01it/s]
/home/zcai/anaconda3/envs/AI-env/lib/python3.10/site-packages/torch/nn/parallel/_functions.py:71: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn(
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 14/14 [00:00<00:00, 29.31it/s]
(AI-env) (base) zcai@zcai-Host-PC:/media/zcai/Task/CUHK(SZ)/MSc Data Science/Year 1/Term 2/CSC5010 - Artificial Intelligence/Project 4$ 
